actual_mode,predicted_mode,iscorrect_mode,iscorrect_inferences,total_nodes,p
standing,sitting,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
walking,walking,1,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,walking,1,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,walking,1,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
standing,standing,1,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
standing,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,walking,1,0,1000,0.0
standing,standing,1,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
standing,walking,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,walking,0,0,1000,0.0
standing,walking,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
walking,walking,1,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
standing,standing,1,0,1000,0.0
standing,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
standing,walking,0,0,1000,0.0
standing,walking,0,0,1000,0.0
standing,walking,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
sitting,walking,0,0,1000,0.0
standing,walking,0,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,walking,1,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,walking,1,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
standing,standing,1,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
walking,walking,1,0,1000,0.0
walking,walking,1,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
standing,standing,1,0,1000,0.0
sitting,sitting,1,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
standing,walking,0,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
walking,sitting,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,walking,1,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,walking,1,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,walking,1,0,1000,0.0
walking,sitting,0,0,1000,0.0
standing,standing,1,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,walking,1,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
standing,sitting,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,walking,1,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,walking,1,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,walking,1,0,1000,0.0
standing,standing,1,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
walking,walking,1,0,1000,0.0
walking,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,walking,1,0,1000,0.0
sitting,standing,0,0,1000,0.0
walking,standing,0,0,1000,0.0
standing,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
standing,walking,0,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,standing,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
walking,standing,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
standing,walking,0,0,1000,0.0
standing,walking,0,0,1000,0.0
standing,walking,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,sitting,1,0,1000,0.0
standing,sitting,0,0,1000,0.0
sitting,standing,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
walking,sitting,0,0,1000,0.0
sitting,walking,0,0,1000,0.0
standing,sitting,0,0,1000,0.0
standing,walking,0,0,1,0.1
standing,sitting,0,106,1000,0.1
walking,walking,1,101,1000,0.1
walking,walking,1,96,1000,0.1
sitting,walking,0,102,1000,0.1
walking,sitting,0,101,1000,0.1
sitting,sitting,1,97,1000,0.1
sitting,sitting,1,94,1000,0.1
walking,walking,1,99,1000,0.1
standing,walking,0,103,1000,0.1
standing,walking,0,95,1000,0.1
walking,standing,0,104,1000,0.1
standing,walking,0,106,1000,0.1
sitting,walking,0,94,1000,0.1
sitting,standing,0,105,1000,0.1
sitting,standing,0,93,1000,0.1
walking,standing,0,100,1000,0.1
walking,standing,0,102,1000,0.1
walking,standing,0,108,1000,0.1
walking,sitting,0,112,1000,0.1
standing,sitting,0,106,1000,0.1
walking,walking,1,99,1000,0.1
walking,standing,0,101,1000,0.1
walking,sitting,0,105,1000,0.1
sitting,standing,0,90,1000,0.1
walking,standing,0,94,1000,0.1
walking,walking,1,97,1000,0.1
sitting,standing,0,84,1000,0.1
standing,sitting,0,107,1000,0.1
standing,sitting,0,100,1000,0.1
standing,walking,0,100,1000,0.1
walking,sitting,0,123,1000,0.1
standing,walking,0,106,1000,0.1
walking,sitting,0,92,1000,0.1
standing,sitting,0,105,1000,0.1
walking,walking,1,94,1000,0.1
walking,sitting,0,105,1000,0.1
sitting,standing,0,93,1000,0.1
walking,standing,0,99,1000,0.1
walking,standing,0,111,1000,0.1
standing,walking,0,109,1000,0.1
walking,sitting,0,99,1000,0.1
sitting,walking,0,99,1000,0.1
sitting,walking,0,115,1000,0.1
walking,standing,0,100,1000,0.1
standing,walking,0,108,1000,0.1
walking,sitting,0,105,1000,0.1
sitting,standing,0,119,1000,0.1
walking,walking,1,104,1000,0.1
sitting,walking,0,115,1000,0.1
walking,walking,1,88,1000,0.1
standing,walking,0,96,1000,0.1
standing,sitting,0,100,1000,0.1
sitting,walking,0,96,1000,0.1
walking,standing,0,95,1000,0.1
sitting,standing,0,98,1000,0.1
standing,walking,0,109,1000,0.1
standing,sitting,0,106,1000,0.1
standing,sitting,0,93,1000,0.1
walking,sitting,0,104,1000,0.1
sitting,standing,0,90,1000,0.1
walking,walking,1,105,1000,0.1
standing,sitting,0,87,1000,0.1
sitting,standing,0,90,1000,0.1
standing,walking,0,98,1000,0.1
sitting,standing,0,105,1000,0.1
standing,walking,0,89,1000,0.1
sitting,walking,0,90,1000,0.1
standing,sitting,0,98,1000,0.1
sitting,standing,0,109,1000,0.1
standing,sitting,0,107,1000,0.1
walking,sitting,0,103,1000,0.1
walking,sitting,0,101,1000,0.1
standing,walking,0,99,1000,0.1
standing,walking,0,101,1000,0.1
standing,sitting,0,113,1000,0.1
sitting,walking,0,102,1000,0.1
standing,sitting,0,108,1000,0.1
walking,sitting,0,94,1000,0.1
walking,walking,1,103,1000,0.1
walking,standing,0,100,1000,0.1
standing,standing,1,100,1000,0.1
walking,walking,1,94,1000,0.1
sitting,walking,0,117,1000,0.1
walking,walking,1,99,1000,0.1
walking,sitting,0,92,1000,0.1
sitting,standing,0,100,1000,0.1
walking,standing,0,102,1000,0.1
sitting,standing,0,98,1000,0.1
walking,standing,0,100,1000,0.1
standing,walking,0,115,1000,0.1
sitting,walking,0,108,1000,0.1
standing,sitting,0,111,1000,0.1
standing,sitting,0,105,1000,0.1
standing,sitting,0,114,1000,0.1
standing,walking,0,98,1000,0.1
standing,sitting,0,107,1000,0.1
standing,walking,0,102,1000,0.1
walking,walking,1,104,1000,0.1
walking,standing,0,84,1000,0.1
walking,walking,1,100,1000,0.1
sitting,walking,0,105,1000,0.1
walking,sitting,0,102,1000,0.1
sitting,walking,0,97,1000,0.1
standing,walking,0,99,1000,0.1
walking,sitting,0,96,1000,0.1
walking,sitting,0,101,1000,0.1
standing,sitting,0,92,1000,0.1
walking,walking,1,92,1000,0.1
sitting,sitting,1,76,1000,0.1
walking,sitting,0,93,1000,0.1
walking,standing,0,88,1000,0.1
walking,standing,0,108,1000,0.1
walking,standing,0,79,1000,0.1
standing,walking,0,90,1000,0.1
sitting,standing,0,118,1000,0.1
standing,sitting,0,103,1000,0.1
walking,sitting,0,101,1000,0.1
sitting,sitting,1,125,1000,0.1
standing,sitting,0,109,1000,0.1
standing,walking,0,100,1000,0.1
sitting,walking,0,102,1000,0.1
walking,standing,0,86,1000,0.1
standing,sitting,0,109,1000,0.1
standing,walking,0,84,1000,0.1
walking,sitting,0,94,1000,0.1
walking,standing,0,95,1000,0.1
sitting,standing,0,103,1000,0.1
standing,sitting,0,113,1000,0.1
sitting,standing,0,119,1000,0.1
walking,sitting,0,97,1000,0.1
standing,walking,0,107,1000,0.1
walking,standing,0,105,1000,0.1
walking,sitting,0,96,1000,0.1
sitting,standing,0,117,1000,0.1
standing,walking,0,89,1000,0.1
standing,walking,0,96,1000,0.1
walking,sitting,0,107,1000,0.1
sitting,walking,0,102,1000,0.1
sitting,walking,0,105,1000,0.1
sitting,sitting,1,89,1000,0.1
sitting,standing,0,91,1000,0.1
walking,sitting,0,94,1000,0.1
sitting,walking,0,111,1000,0.1
standing,walking,0,93,1000,0.1
sitting,standing,0,106,1000,0.1
walking,walking,1,112,1000,0.1
standing,sitting,0,97,1000,0.1
standing,sitting,0,95,1000,0.1
standing,walking,0,100,1000,0.1
sitting,standing,0,111,1000,0.1
walking,sitting,0,80,1000,0.1
standing,walking,0,97,1000,0.1
walking,sitting,0,92,1000,0.1
standing,sitting,0,111,1000,0.1
standing,walking,0,106,1000,0.1
standing,walking,0,89,1000,0.1
walking,standing,0,105,1000,0.1
sitting,standing,0,114,1000,0.1
walking,standing,0,117,1000,0.1
standing,sitting,0,100,1000,0.1
walking,walking,1,94,1000,0.1
sitting,sitting,1,91,1000,0.1
sitting,walking,0,111,1000,0.1
sitting,sitting,1,102,1000,0.1
walking,standing,0,109,1000,0.1
standing,sitting,0,115,1000,0.1
sitting,walking,0,96,1000,0.1
sitting,walking,0,113,1000,0.1
sitting,sitting,1,96,1000,0.1
walking,standing,0,95,1000,0.1
sitting,walking,0,97,1000,0.1
sitting,walking,0,106,1000,0.1
standing,standing,1,106,1000,0.1
standing,sitting,0,128,1000,0.1
walking,sitting,0,102,1000,0.1
sitting,standing,0,105,1000,0.1
walking,standing,0,102,1000,0.1
walking,walking,1,92,1000,0.1
standing,sitting,0,102,1000,0.1
standing,standing,1,90,1000,0.1
sitting,standing,0,103,1000,0.1
walking,standing,0,117,1000,0.1
walking,walking,1,102,1000,0.1
walking,walking,1,130,1000,0.1
sitting,sitting,1,107,1000,0.1
sitting,walking,0,94,1000,0.1
walking,sitting,0,117,1000,0.1
sitting,sitting,1,103,1000,0.1
walking,standing,0,90,1000,0.1
standing,walking,0,128,1000,0.1
walking,sitting,0,85,1000,0.1
standing,standing,1,86,1000,0.1
walking,standing,0,105,1000,0.1
walking,walking,1,122,1000,0.1
sitting,walking,0,79,1000,0.1
standing,walking,0,117,1000,0.1
sitting,sitting,1,103,1000,0.1
sitting,standing,0,106,1000,0.1
standing,standing,1,86,1000,0.1
walking,sitting,0,105,1000,0.1
standing,sitting,0,102,1000,0.1
sitting,standing,0,100,1000,0.1
sitting,standing,0,90,1000,0.1
standing,walking,0,90,1000,0.1
standing,walking,0,98,1000,0.1
sitting,standing,0,93,1000,0.1
standing,walking,0,96,1000,0.1
standing,sitting,0,91,1000,0.1
walking,standing,0,92,1000,0.1
sitting,walking,0,89,1000,0.1
sitting,walking,0,105,1000,0.1
walking,sitting,0,100,1000,0.1
standing,walking,0,102,1000,0.1
sitting,standing,0,123,1000,0.1
standing,standing,1,97,1000,0.1
sitting,standing,0,96,1000,0.1
sitting,sitting,1,127,1000,0.1
walking,walking,1,95,1000,0.1
standing,standing,1,103,1000,0.1
standing,standing,1,105,1000,0.1
sitting,walking,0,100,1000,0.1
walking,sitting,0,109,1000,0.1
standing,walking,0,102,1000,0.1
walking,standing,0,84,1000,0.1
sitting,sitting,1,99,1000,0.1
walking,sitting,0,104,1000,0.1
walking,standing,0,102,1000,0.1
sitting,standing,0,96,1000,0.1
standing,sitting,0,108,1000,0.1
sitting,walking,0,100,1000,0.1
sitting,standing,0,97,1000,0.1
sitting,sitting,1,107,1000,0.1
sitting,walking,0,109,1000,0.1
sitting,walking,0,103,1000,0.1
standing,walking,0,100,1000,0.1
sitting,walking,0,97,1000,0.1
walking,standing,0,99,1000,0.1
walking,sitting,0,96,1000,0.1
sitting,walking,0,102,1000,0.1
sitting,standing,0,87,1000,0.1
walking,standing,0,91,1000,0.1
walking,sitting,0,100,1000,0.1
sitting,walking,0,102,1000,0.1
sitting,sitting,1,109,1000,0.1
walking,walking,1,89,1000,0.1
sitting,standing,0,91,1000,0.1
sitting,sitting,1,101,1000,0.1
standing,sitting,0,92,1000,0.1
standing,sitting,0,100,1000,0.1
standing,walking,0,108,1000,0.1
walking,walking,1,90,1000,0.1
standing,standing,1,104,1000,0.1
walking,sitting,0,93,1000,0.1
walking,standing,0,97,1000,0.1
standing,standing,1,96,1000,0.1
sitting,walking,0,104,1000,0.1
sitting,standing,0,104,1000,0.1
standing,sitting,0,85,1000,0.1
sitting,sitting,1,103,1000,0.1
standing,standing,1,113,1000,0.1
standing,standing,1,109,1000,0.1
standing,standing,1,109,1000,0.1
walking,sitting,0,104,1000,0.1
sitting,walking,0,105,1000,0.1
standing,walking,0,105,1000,0.1
walking,walking,1,102,1000,0.1
sitting,standing,0,90,1000,0.1
sitting,standing,0,97,1000,0.1
walking,walking,1,102,1000,0.1
sitting,walking,0,119,1000,0.1
walking,standing,0,93,1000,0.1
sitting,sitting,1,104,1000,0.1
standing,sitting,0,101,1000,0.1
sitting,walking,0,94,1000,0.1
standing,walking,0,106,1000,0.1
sitting,standing,0,89,1000,0.1
sitting,standing,0,92,1000,0.1
sitting,walking,0,93,1000,0.1
sitting,standing,0,106,1000,0.1
walking,standing,0,112,1000,0.1
standing,walking,0,105,1000,0.1
walking,walking,1,107,1000,0.1
standing,standing,1,95,1000,0.1
sitting,standing,0,113,1000,0.1
sitting,sitting,1,101,1000,0.1
standing,sitting,0,106,1000,0.1
standing,sitting,0,121,1000,0.1
standing,walking,0,104,1000,0.1
standing,sitting,0,84,1000,0.1
standing,sitting,0,91,1000,0.1
standing,sitting,0,97,1000,0.1
walking,sitting,0,99,1000,0.1
sitting,walking,0,98,1000,0.1
sitting,walking,0,93,1000,0.1
walking,standing,0,110,1000,0.1
standing,walking,0,98,1000,0.1
walking,walking,1,104,1000,0.1
standing,walking,0,112,1000,0.1
standing,walking,0,116,1000,0.1
standing,sitting,0,90,1000,0.1
walking,standing,0,115,1000,0.1
sitting,standing,0,104,1000,0.1
standing,sitting,0,95,1000,0.1
sitting,sitting,1,95,1000,0.1
standing,walking,0,112,1000,0.1
standing,standing,1,103,1000,0.1
walking,sitting,0,101,1000,0.1
walking,standing,0,115,1000,0.1
walking,sitting,0,94,1000,0.1
sitting,standing,0,103,1000,0.1
standing,sitting,0,101,1000,0.1
walking,sitting,0,101,1000,0.1
sitting,standing,0,102,1000,0.1
sitting,walking,0,97,1000,0.1
walking,standing,0,101,1000,0.1
sitting,sitting,1,97,1000,0.1
walking,walking,1,87,1000,0.1
sitting,sitting,1,101,1000,0.1
standing,walking,0,104,1000,0.1
walking,walking,1,107,1000,0.1
standing,walking,0,107,1000,0.1
walking,sitting,0,107,1000,0.1
walking,standing,0,88,1000,0.1
standing,sitting,0,88,1000,0.1
sitting,standing,0,98,1000,0.1
walking,walking,1,109,1000,0.1
walking,standing,0,99,1000,0.1
standing,sitting,0,85,1000,0.1
standing,standing,1,93,1000,0.1
standing,walking,0,106,1000,0.1
walking,standing,0,112,1000,0.1
standing,sitting,0,103,1000,0.1
sitting,walking,0,113,1000,0.1
standing,sitting,0,113,1000,0.1
walking,walking,1,1,1,0.2
sitting,standing,0,209,1000,0.2
walking,walking,1,179,1000,0.2
sitting,standing,0,178,1000,0.2
sitting,walking,0,185,1000,0.2
walking,walking,1,182,1000,0.2
walking,standing,0,182,1000,0.2
sitting,sitting,1,203,1000,0.2
walking,walking,1,199,1000,0.2
standing,walking,0,197,1000,0.2
standing,walking,0,217,1000,0.2
walking,standing,0,187,1000,0.2
sitting,sitting,1,188,1000,0.2
standing,walking,0,203,1000,0.2
sitting,walking,0,173,1000,0.2
standing,standing,1,194,1000,0.2
standing,standing,1,198,1000,0.2
sitting,sitting,1,207,1000,0.2
walking,standing,0,178,1000,0.2
sitting,walking,0,204,1000,0.2
standing,walking,0,193,1000,0.2
standing,standing,1,188,1000,0.2
standing,standing,1,200,1000,0.2
sitting,standing,0,199,1000,0.2
sitting,walking,0,216,1000,0.2
standing,standing,1,195,1000,0.2
sitting,standing,0,192,1000,0.2
sitting,standing,0,178,1000,0.2
standing,standing,1,205,1000,0.2
sitting,walking,0,196,1000,0.2
sitting,standing,0,189,1000,0.2
walking,sitting,0,194,1000,0.2
sitting,standing,0,206,1000,0.2
standing,sitting,0,188,1000,0.2
walking,sitting,0,207,1000,0.2
standing,sitting,0,206,1000,0.2
sitting,sitting,1,207,1000,0.2
walking,walking,1,196,1000,0.2
standing,sitting,0,211,1000,0.2
walking,sitting,0,202,1000,0.2
sitting,standing,0,215,1000,0.2
standing,sitting,0,189,1000,0.2
sitting,standing,0,209,1000,0.2
walking,walking,1,184,1000,0.2
standing,walking,0,188,1000,0.2
standing,sitting,0,207,1000,0.2
standing,walking,0,202,1000,0.2
walking,walking,1,196,1000,0.2
standing,sitting,0,213,1000,0.2
sitting,standing,0,193,1000,0.2
sitting,walking,0,211,1000,0.2
sitting,sitting,1,166,1000,0.2
standing,sitting,0,208,1000,0.2
sitting,sitting,1,204,1000,0.2
sitting,standing,0,208,1000,0.2
sitting,sitting,1,169,1000,0.2
sitting,walking,0,208,1000,0.2
standing,sitting,0,208,1000,0.2
walking,standing,0,225,1000,0.2
standing,walking,0,199,1000,0.2
standing,walking,0,213,1000,0.2
sitting,walking,0,216,1000,0.2
sitting,sitting,1,208,1000,0.2
walking,standing,0,194,1000,0.2
sitting,walking,0,202,1000,0.2
sitting,sitting,1,199,1000,0.2
sitting,sitting,1,201,1000,0.2
standing,walking,0,196,1000,0.2
sitting,walking,0,227,1000,0.2
sitting,sitting,1,201,1000,0.2
sitting,walking,0,191,1000,0.2
standing,standing,1,203,1000,0.2
walking,sitting,0,216,1000,0.2
standing,walking,0,201,1000,0.2
standing,sitting,0,211,1000,0.2
walking,walking,1,207,1000,0.2
sitting,sitting,1,198,1000,0.2
standing,walking,0,195,1000,0.2
sitting,walking,0,200,1000,0.2
walking,standing,0,176,1000,0.2
sitting,standing,0,171,1000,0.2
sitting,walking,0,190,1000,0.2
walking,standing,0,194,1000,0.2
sitting,standing,0,236,1000,0.2
walking,sitting,0,196,1000,0.2
walking,sitting,0,190,1000,0.2
standing,standing,1,185,1000,0.2
standing,walking,0,196,1000,0.2
standing,sitting,0,202,1000,0.2
standing,walking,0,188,1000,0.2
walking,standing,0,195,1000,0.2
sitting,walking,0,176,1000,0.2
sitting,sitting,1,197,1000,0.2
standing,sitting,0,163,1000,0.2
standing,standing,1,196,1000,0.2
walking,standing,0,175,1000,0.2
sitting,walking,0,208,1000,0.2
sitting,standing,0,184,1000,0.2
walking,standing,0,205,1000,0.2
walking,sitting,0,174,1000,0.2
sitting,walking,0,192,1000,0.2
sitting,walking,0,222,1000,0.2
walking,standing,0,210,1000,0.2
sitting,standing,0,215,1000,0.2
standing,walking,0,227,1000,0.2
sitting,standing,0,208,1000,0.2
sitting,sitting,1,192,1000,0.2
walking,standing,0,180,1000,0.2
walking,sitting,0,192,1000,0.2
standing,sitting,0,191,1000,0.2
walking,walking,1,210,1000,0.2
walking,standing,0,196,1000,0.2
walking,walking,1,201,1000,0.2
walking,sitting,0,221,1000,0.2
sitting,standing,0,207,1000,0.2
standing,walking,0,196,1000,0.2
sitting,walking,0,210,1000,0.2
